"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 23 17:06:20 GMT 2024","Fri Feb 23 17:06:21 GMT 2024","59","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","Creating build configuration with invalid id should not be available"
"passed","Fri Feb 23 17:06:20 GMT 2024","Fri Feb 23 17:06:20 GMT 2024","35","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithEmptyBodyShouldNotBeAvailable","creatingBuildConfigurationWithEmptyBodyShouldNotBeAvailable","Creating build configuration with empty body should not be available"
"passed","Fri Feb 23 17:06:29 GMT 2024","Fri Feb 23 17:06:29 GMT 2024","95","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","nonAdminShouldNotHaveRightsToCreateBuildConfig","nonAdminShouldNotHaveRightsToCreateBuildConfig","Non admin should not have rights to create build configuration"
"failed","Fri Feb 23 17:06:21 GMT 2024","Fri Feb 23 17:06:21 GMT 2024","12","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","Creating build configuration with invalid project id should not be available"
"passed","Fri Feb 23 17:06:27 GMT 2024","Fri Feb 23 17:06:27 GMT 2024","72","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithValidNameAsLocatorShouldBeAvailable","creatingProjectWithValidNameAsLocatorShouldBeAvailable","Creating project with valid locator name should be available"
"passed","Fri Feb 23 17:06:25 GMT 2024","Fri Feb 23 17:06:25 GMT 2024","126","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingTwoBuildConfigurationWithSameNameInDifferentProjectsShouldBeAvailable","creatingTwoBuildConfigurationWithSameNameInDifferentProjectsShouldBeAvailable","Creating two build configurations with same name not in the same project should be available"
"passed","Fri Feb 23 17:06:26 GMT 2024","Fri Feb 23 17:06:26 GMT 2024","20","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidLocatorShouldNotBeAvailable","creatingProjectWithInvalidLocatorShouldNotBeAvailable","Creating project with invalid locator should not be available"
"failed","Fri Feb 23 17:06:26 GMT 2024","Fri Feb 23 17:06:26 GMT 2024","32","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidIdShouldNotBeAvailable","creatingProjectWithInvalidIdShouldNotBeAvailable","Creating project with invalid id should not be available"
"passed","Fri Feb 23 17:06:29 GMT 2024","Fri Feb 23 17:06:29 GMT 2024","50","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingTwoProjectsWithSameNameShouldNotBeAvailable","creatingTwoProjectsWithSameNameShouldNotBeAvailable","Creating two projects with same name should not be available"
"failed","Fri Feb 23 17:06:21 GMT 2024","Fri Feb 23 17:06:21 GMT 2024","54","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidNameShouldNotBeAvailable","creatingBuildConfigurationWithInvalidNameShouldNotBeAvailable","Creating build configuration with invalid name should not be available"
"failed","Fri Feb 23 17:06:21 GMT 2024","Fri Feb 23 17:06:21 GMT 2024","15","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","Creating build configuration with invalid project id should not be available"
